pair,gfm_buses,A_bar_2gfm,dAbar_2to6_pct,Z_avg_ohm,dZavg_2to6_pct
G4+G6,47|1,3.2528197314481213,84.63824378329667,0.6383747283720806,-55.642349002274806
G3+G4,105|47,4.99109332535332,20.33333849066421,0.4533671645440478,-37.541124233435305
G3+G6,105|1,5.005357945926047,19.990404092292955,0.45297575220872743,-37.48715407210532
G4+G5,47|67,5.177855065507097,15.99299612674967,0.3963514343657328,-28.556324131358945
G2+G4,60|47,5.184980800359738,15.833586600082693,0.4072457443654795,-30.467527779777903
G5+G6,67|1,5.192119686079823,15.674321639472776,0.4036577979583773,-29.84948253169575
G2+G6,60|1,5.199245420932465,15.51578622163241,0.4269468319099316,-33.676042798532656
G3+G5,105|67,6.010999892850797,-0.08402374577389793,0.5521987792124081,-48.71990943680796
G2+G3,60|105,6.016344193990278,-0.17277881837783893,0.530605865380575,-46.63307502907783
G2+G5,60|67,6.156415499105611,-2.4440565056908836,0.5233647371771505,-45.89470517324595
G1+G4,114|47,6.4859309745575455,-7.400352406740351,0.6539007510064502,-56.695563717716155
G1+G6,114|1,6.494489746901182,-7.522384981082297,0.6334168387913577,-55.29515214510472
G1+G3,114|105,6.823348207944937,-11.979441140213531,0.6897802150774721,-58.948078260383284
G1+G5,114|67,6.916729078021826,-13.167782663824513,0.5491327159190662,-48.433588846544275
G1+G2,114|60,6.920291945448147,-13.212487667766704,0.5326933978356161,-46.842210693899645
