deployment,legacy_Z_avg,legacy_Z_max,legacy_A_GFM,legacy_A_bar
2gfm,0.7367911464829783,1.7428970283732903,680265.4037733041,2084.689345489187
5gfm,0.34964184383639735,0.9316321288698861,2466066.800777387,3958.5960700478913
6gfm,0.29428487065238873,0.8235705125102889,3146148.3513213634,4611.126201014759
