target_gfm,target_soc,soc_others,P_head_total_mw,dP_critical_mw,A_bar
G1,0.1,0.8,2.276,0.0,5.359144829348701
G1,0.125,0.8,2.5036099999999997,0.7478540814943133,5.535553074195235
G1,0.15,0.8,2.73122,1.4957081629886266,5.682558868408337
G1,0.175,0.8,2.9588299999999994,2.24356224448294,5.806947622223144
G1,0.2,0.8,3.1864399999999997,2.991416325977254,5.913565996394342
G1,0.225,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.25,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.275,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.3,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.325,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.35,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.375,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.4,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.425,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.45,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.475,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.5,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.525,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.55,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.575,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.6,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.625,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.65,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.675,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.7,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.725,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.75,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.775,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.8,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.825,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.85,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.875,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.9,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.925,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.95,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,0.975,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G1,1.0,0.8,3.4139999999999997,3.2716562541188874,6.005949225582358
G2,0.1,0.8,2.8449999999999998,0.0,5.974787110649812
G2,0.125,0.8,2.9587999999999997,0.6543312508237774,5.981978367941937
G2,0.15,0.8,3.0726,1.3086625016475548,5.988636939508722
