soc,hold_time_h,dP_mw,P_head_total_mw,mu_P_aggregate,mu_P_binding_unit,kappa,df_ss_hz_unconstrained,secure_flag
0.1,0.08333333333333333,0.5,0.0,inf,inf,0.0,0.3438474234366403,False
0.1,0.08333333333333333,1.0,0.0,inf,inf,0.0,0.6876948468732806,False
0.1,0.08333333333333333,2.0,0.0,inf,inf,0.0,1.3753896937465613,False
0.1,0.08333333333333333,3.0,0.0,inf,inf,0.0,2.0630845406198417,False
0.1,0.08333333333333333,5.0,0.0,inf,inf,0.0,3.438474234366403,False
0.1,0.08333333333333333,8.0,0.0,inf,inf,0.0,5.501558774986245,False
0.125,0.08333333333333333,0.5,0.8534999999999998,0.5858230814294084,0.6113111661660905,1.7069999999999996,0.3438474234366403,True
0.125,0.08333333333333333,1.0,0.8534999999999998,1.1716461628588168,1.222622332332181,0.8534999999999998,0.6876948468732806,False
0.125,0.08333333333333333,2.0,0.8534999999999998,2.3432923257176337,2.445244664664362,0.4267499999999999,1.3753896937465613,False
0.125,0.08333333333333333,3.0,0.8534999999999998,3.5149384885764507,3.6678669969965427,0.2844999999999999,2.0630845406198417,False
0.125,0.08333333333333333,5.0,0.8534999999999998,5.858230814294084,6.113111661660905,0.17069999999999996,3.438474234366403,False
0.125,0.08333333333333333,8.0,0.8534999999999998,9.373169302870535,9.780978658657448,0.10668749999999998,5.501558774986245,False
0.15,0.08333333333333333,0.5,1.7069999999999996,0.2929115407147042,0.30565558308304525,3.4139999999999993,0.3438474234366403,True
0.15,0.08333333333333333,1.0,1.7069999999999996,0.5858230814294084,0.6113111661660905,1.7069999999999996,0.6876948468732806,True
0.15,0.08333333333333333,2.0,1.7069999999999996,1.1716461628588168,1.222622332332181,0.8534999999999998,1.3753896937465613,False
0.15,0.08333333333333333,3.0,1.7069999999999996,1.7574692442882254,1.8339334984982714,0.5689999999999998,2.0630845406198417,False
0.15,0.08333333333333333,5.0,1.7069999999999996,2.929115407147042,3.0565558308304523,0.3413999999999999,3.438474234366403,False
0.15,0.08333333333333333,8.0,1.7069999999999996,4.686584651435267,4.890489329328724,0.21337499999999995,5.501558774986245,False
0.175,0.08333333333333333,0.5,2.5604999999999993,0.19527436047646948,0.20377038872203018,5.120999999999999,0.3438474234366403,True
0.175,0.08333333333333333,1.0,2.5604999999999993,0.39054872095293897,0.40754077744406036,2.5604999999999993,0.6876948468732806,True
0.175,0.08333333333333333,2.0,2.5604999999999993,0.7810974419058779,0.8150815548881207,1.2802499999999997,1.3753896937465613,True
0.175,0.08333333333333333,3.0,2.5604999999999993,1.1716461628588168,1.222622332332181,0.8534999999999998,2.0630845406198417,False
0.175,0.08333333333333333,5.0,2.5604999999999993,1.9527436047646949,2.0377038872203017,0.5120999999999999,3.438474234366403,False
0.175,0.08333333333333333,8.0,2.5604999999999993,3.1243897676235117,3.260326219552483,0.3200624999999999,5.501558774986245,False
0.2,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.2,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
0.2,0.08333333333333333,2.0,3.4139999999999997,0.5858230814294084,0.6113111661660904,1.7069999999999999,1.3753896937465613,True
0.2,0.08333333333333333,3.0,3.4139999999999997,0.8787346221441126,0.9169667492491355,1.138,2.0630845406198417,True
0.2,0.08333333333333333,5.0,3.4139999999999997,1.4645577035735209,1.528277915415226,0.6828,3.438474234366403,False
0.2,0.08333333333333333,8.0,3.4139999999999997,2.3432923257176337,2.4452446646643615,0.42674999999999996,5.501558774986245,False
0.225,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.225,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
0.225,0.08333333333333333,2.0,3.4139999999999997,0.5858230814294084,0.6113111661660904,1.7069999999999999,1.3753896937465613,True
0.225,0.08333333333333333,3.0,3.4139999999999997,0.8787346221441126,0.9169667492491355,1.138,2.0630845406198417,True
0.225,0.08333333333333333,5.0,3.4139999999999997,1.4645577035735209,1.528277915415226,0.6828,3.438474234366403,False
0.225,0.08333333333333333,8.0,3.4139999999999997,2.3432923257176337,2.4452446646643615,0.42674999999999996,5.501558774986245,False
0.25,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.25,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
0.25,0.08333333333333333,2.0,3.4139999999999997,0.5858230814294084,0.6113111661660904,1.7069999999999999,1.3753896937465613,True
0.25,0.08333333333333333,3.0,3.4139999999999997,0.8787346221441126,0.9169667492491355,1.138,2.0630845406198417,True
0.25,0.08333333333333333,5.0,3.4139999999999997,1.4645577035735209,1.528277915415226,0.6828,3.438474234366403,False
0.25,0.08333333333333333,8.0,3.4139999999999997,2.3432923257176337,2.4452446646643615,0.42674999999999996,5.501558774986245,False
0.275,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.275,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
0.275,0.08333333333333333,2.0,3.4139999999999997,0.5858230814294084,0.6113111661660904,1.7069999999999999,1.3753896937465613,True
0.275,0.08333333333333333,3.0,3.4139999999999997,0.8787346221441126,0.9169667492491355,1.138,2.0630845406198417,True
0.275,0.08333333333333333,5.0,3.4139999999999997,1.4645577035735209,1.528277915415226,0.6828,3.438474234366403,False
0.275,0.08333333333333333,8.0,3.4139999999999997,2.3432923257176337,2.4452446646643615,0.42674999999999996,5.501558774986245,False
0.3,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.3,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
0.3,0.08333333333333333,2.0,3.4139999999999997,0.5858230814294084,0.6113111661660904,1.7069999999999999,1.3753896937465613,True
0.3,0.08333333333333333,3.0,3.4139999999999997,0.8787346221441126,0.9169667492491355,1.138,2.0630845406198417,True
0.3,0.08333333333333333,5.0,3.4139999999999997,1.4645577035735209,1.528277915415226,0.6828,3.438474234366403,False
0.3,0.08333333333333333,8.0,3.4139999999999997,2.3432923257176337,2.4452446646643615,0.42674999999999996,5.501558774986245,False
0.325,0.08333333333333333,0.5,3.4139999999999997,0.1464557703573521,0.1528277915415226,6.827999999999999,0.3438474234366403,True
0.325,0.08333333333333333,1.0,3.4139999999999997,0.2929115407147042,0.3056555830830452,3.4139999999999997,0.6876948468732806,True
