Method,THD_V_PCC_pct,THD_V_max_pct,Buses_over_5pct,TDD_I_PCC_pct,TDD_I_max_pct,Branches_over_TDD
GraphSAGE-MAPPO,2.554134622987785,2.8081142801538137,0,4.547036322964406,11.495446487462416,2
GCNN-PPO,3.651629292816452,3.957214424147,0,4.493501493696483,12.795763308882721,2
MLP-MAPPO,0.9255897224343872,1.0193179514211943,0,0.6139993709025161,4.577133855552779,0
MATD3,4.035158899306008,4.396451256341793,0,7.584834362740113,15.601154552306326,4
Fixed Droop,2.554134622987785,2.8081142801538137,0,4.547036322964406,11.495446487462416,2
No FFR,2.554134622987785,2.8081142801538137,0,4.547036322964406,11.495446487462416,2
