target_gfm,target_soc,soc_others,P_head_total_mw,dP_critical_mw,A_bar
G4,0.175,0.8,17.4,10.349999999999998,15.990066005348817
G4,0.2,0.8,17.7,13.800000000000002,15.909752774659921
G4,0.225,0.8,18.0,17.25,15.83211665166065
G4,0.25,0.8,18.0,17.25,15.83211665166065
G4,0.275,0.8,18.0,17.25,15.83211665166065
G4,0.3,0.8,18.0,17.25,15.83211665166065
G4,0.325,0.8,18.0,17.25,15.83211665166065
G4,0.35,0.8,18.0,17.25,15.83211665166065
G4,0.375,0.8,18.0,17.25,15.83211665166065
G4,0.4,0.8,18.0,17.25,15.83211665166065
G4,0.425,0.8,18.0,17.25,15.83211665166065
G4,0.45,0.8,18.0,17.25,15.83211665166065
G4,0.475,0.8,18.0,17.25,15.83211665166065
G4,0.5,0.8,18.0,17.25,15.83211665166065
G4,0.525,0.8,18.0,17.25,15.83211665166065
G4,0.55,0.8,18.0,17.25,15.83211665166065
G4,0.575,0.8,18.0,17.25,15.83211665166065
G4,0.6,0.8,18.0,17.25,15.83211665166065
G4,0.625,0.8,18.0,17.25,15.83211665166065
G4,0.65,0.8,18.0,17.25,15.83211665166065
G4,0.675,0.8,18.0,17.25,15.83211665166065
G4,0.7,0.8,18.0,17.25,15.83211665166065
G4,0.725,0.8,18.0,17.25,15.83211665166065
G4,0.75,0.8,18.0,17.25,15.83211665166065
G4,0.775,0.8,18.0,17.25,15.83211665166065
G4,0.8,0.8,18.0,17.25,15.83211665166065
G4,0.825,0.8,18.0,17.25,15.83211665166065
G4,0.85,0.8,18.0,17.25,15.83211665166065
G4,0.875,0.8,18.0,17.25,15.83211665166065
G4,0.9,0.8,18.0,17.25,15.83211665166065
G4,0.925,0.8,18.0,17.25,15.83211665166065
G4,0.95,0.8,18.0,17.25,15.83211665166065
G4,0.975,0.8,18.0,17.25,15.83211665166065
G4,1.0,0.8,18.0,17.25,15.83211665166065
G5,0.1,0.8,15.0,0.0,15.127567766560096
G5,0.125,0.8,15.6,3.4499999999999993,15.29015597081407
G5,0.15,0.8,16.2,6.899999999999999,15.440700604382565
G5,0.175,0.8,16.799999999999997,10.349999999999998,15.580492049839027
G5,0.2,0.8,17.4,13.800000000000002,15.71064270595366
G5,0.225,0.8,18.0,17.25,15.83211665166065
G5,0.25,0.8,18.0,17.25,15.83211665166065
G5,0.275,0.8,18.0,17.25,15.83211665166065
G5,0.3,0.8,18.0,17.25,15.83211665166065
G5,0.325,0.8,18.0,17.25,15.83211665166065
G5,0.35,0.8,18.0,17.25,15.83211665166065
G5,0.375,0.8,18.0,17.25,15.83211665166065
G5,0.4,0.8,18.0,17.25,15.83211665166065
G5,0.425,0.8,18.0,17.25,15.83211665166065
G5,0.45,0.8,18.0,17.25,15.83211665166065
G5,0.475,0.8,18.0,17.25,15.83211665166065
G5,0.5,0.8,18.0,17.25,15.83211665166065
G5,0.525,0.8,18.0,17.25,15.83211665166065
G5,0.55,0.8,18.0,17.25,15.83211665166065
G5,0.575,0.8,18.0,17.25,15.83211665166065
G5,0.6,0.8,18.0,17.25,15.83211665166065
G5,0.625,0.8,18.0,17.25,15.83211665166065
G5,0.65,0.8,18.0,17.25,15.83211665166065
G5,0.675,0.8,18.0,17.25,15.83211665166065
G5,0.7,0.8,18.0,17.25,15.83211665166065
G5,0.725,0.8,18.0,17.25,15.83211665166065
G5,0.75,0.8,18.0,17.25,15.83211665166065
G5,0.775,0.8,18.0,17.25,15.83211665166065
G5,0.8,0.8,18.0,17.25,15.83211665166065
G5,0.825,0.8,18.0,17.25,15.83211665166065
G5,0.85,0.8,18.0,17.25,15.83211665166065
G5,0.875,0.8,18.0,17.25,15.83211665166065
G5,0.9,0.8,18.0,17.25,15.83211665166065
G5,0.925,0.8,18.0,17.25,15.83211665166065
G5,0.95,0.8,18.0,17.25,15.83211665166065
G5,0.975,0.8,18.0,17.25,15.83211665166065
G5,1.0,0.8,18.0,17.25,15.83211665166065
G6,0.1,0.8,16.5,0.0,16.251033613223893
G6,0.125,0.8,16.8,3.4499999999999993,16.16126569288891
G6,0.15,0.8,17.1,6.899999999999999,16.074647524144634
G6,0.175,0.8,17.4,10.349999999999998,15.99101618880533
G6,0.2,0.8,17.7,13.800000000000002,15.910219813986004
G6,0.225,0.8,18.0,17.25,15.83211665166065
G6,0.25,0.8,18.0,17.25,15.83211665166065
G6,0.275,0.8,18.0,17.25,15.83211665166065
G6,0.3,0.8,18.0,17.25,15.83211665166065
G6,0.325,0.8,18.0,17.25,15.83211665166065
G6,0.35,0.8,18.0,17.25,15.83211665166065
G6,0.375,0.8,18.0,17.25,15.83211665166065
G6,0.4,0.8,18.0,17.25,15.83211665166065
G6,0.425,0.8,18.0,17.25,15.83211665166065
G6,0.45,0.8,18.0,17.25,15.83211665166065
G6,0.475,0.8,18.0,17.25,15.83211665166065
G6,0.5,0.8,18.0,17.25,15.83211665166065
G6,0.525,0.8,18.0,17.25,15.83211665166065
G6,0.55,0.8,18.0,17.25,15.83211665166065
G6,0.575,0.8,18.0,17.25,15.83211665166065
G6,0.6,0.8,18.0,17.25,15.83211665166065
G6,0.625,0.8,18.0,17.25,15.83211665166065
G6,0.65,0.8,18.0,17.25,15.83211665166065
G6,0.675,0.8,18.0,17.25,15.83211665166065
G6,0.7,0.8,18.0,17.25,15.83211665166065
G6,0.725,0.8,18.0,17.25,15.83211665166065
G6,0.75,0.8,18.0,17.25,15.83211665166065
G6,0.775,0.8,18.0,17.25,15.83211665166065
G6,0.8,0.8,18.0,17.25,15.83211665166065
G6,0.825,0.8,18.0,17.25,15.83211665166065
G6,0.85,0.8,18.0,17.25,15.83211665166065
G6,0.875,0.8,18.0,17.25,15.83211665166065
G6,0.9,0.8,18.0,17.25,15.83211665166065
G6,0.925,0.8,18.0,17.25,15.83211665166065
G6,0.95,0.8,18.0,17.25,15.83211665166065
G6,0.975,0.8,18.0,17.25,15.83211665166065
G6,1.0,0.8,18.0,17.25,15.83211665166065
