soc,hold_time_h,dP_mw,P_head_total_mw,mu_P_aggregate,mu_P_binding_unit,kappa,df_ss_hz_unconstrained,secure_flag
0.1,0.08333333333333333,0.5,0.0,inf,inf,0.0,0.06521739130434782,False
0.1,0.08333333333333333,1.0,0.0,inf,inf,0.0,0.13043478260869565,False
0.1,0.08333333333333333,2.0,0.0,inf,inf,0.0,0.2608695652173913,False
0.1,0.08333333333333333,3.0,0.0,inf,inf,0.0,0.391304347826087,False
0.1,0.08333333333333333,5.0,0.0,inf,inf,0.0,0.6521739130434783,False
0.1,0.08333333333333333,8.0,0.0,inf,inf,0.0,1.0434782608695652,False
0.125,0.08333333333333333,0.5,4.499999999999999,0.11111111111111113,0.11594202898550728,8.999999999999998,0.06521739130434782,True
0.125,0.08333333333333333,1.0,4.499999999999999,0.22222222222222227,0.23188405797101455,4.499999999999999,0.13043478260869565,True
0.125,0.08333333333333333,2.0,4.499999999999999,0.44444444444444453,0.4637681159420291,2.2499999999999996,0.2608695652173913,True
0.125,0.08333333333333333,3.0,4.499999999999999,0.6666666666666669,0.6956521739130437,1.4999999999999998,0.391304347826087,True
0.125,0.08333333333333333,5.0,4.499999999999999,1.1111111111111114,1.1594202898550727,0.8999999999999998,0.6521739130434783,False
0.125,0.08333333333333333,8.0,4.499999999999999,1.7777777777777781,1.8550724637681164,0.5624999999999999,1.0434782608695652,False
0.15,0.08333333333333333,0.5,8.999999999999998,0.055555555555555566,0.05797101449275364,17.999999999999996,0.06521739130434782,True
0.15,0.08333333333333333,1.0,8.999999999999998,0.11111111111111113,0.11594202898550728,8.999999999999998,0.13043478260869565,True
0.15,0.08333333333333333,2.0,8.999999999999998,0.22222222222222227,0.23188405797101455,4.499999999999999,0.2608695652173913,True
0.15,0.08333333333333333,3.0,8.999999999999998,0.3333333333333334,0.34782608695652184,2.9999999999999996,0.391304347826087,True
0.15,0.08333333333333333,5.0,8.999999999999998,0.5555555555555557,0.5797101449275364,1.7999999999999996,0.6521739130434783,True
0.15,0.08333333333333333,8.0,8.999999999999998,0.8888888888888891,0.9275362318840582,1.1249999999999998,1.0434782608695652,True
0.175,0.08333333333333333,0.5,13.499999999999996,0.03703703703703705,0.038647342995169094,26.999999999999993,0.06521739130434782,True
0.175,0.08333333333333333,1.0,13.499999999999996,0.0740740740740741,0.07729468599033819,13.499999999999996,0.13043478260869565,True
0.175,0.08333333333333333,2.0,13.499999999999996,0.1481481481481482,0.15458937198067638,6.749999999999998,0.2608695652173913,True
0.175,0.08333333333333333,3.0,13.499999999999996,0.2222222222222223,0.23188405797101458,4.499999999999999,0.391304347826087,True
0.175,0.08333333333333333,5.0,13.499999999999996,0.37037037037037046,0.386473429951691,2.6999999999999993,0.6521739130434783,True
0.175,0.08333333333333333,8.0,13.499999999999996,0.5925925925925928,0.6183574879227055,1.6874999999999996,1.0434782608695652,True
0.2,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.2,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.2,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.2,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.2,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.2,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.225,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.225,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.225,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.225,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.225,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.225,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.25,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.25,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.25,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.25,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.25,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.25,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.275,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.275,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.275,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.275,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.275,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.275,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.3,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.3,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.3,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.3,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.3,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.3,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.325,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.325,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.325,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.325,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.325,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.325,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.35,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.35,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.35,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.35,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.35,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.35,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.375,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.375,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.375,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.375,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.375,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.375,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.4,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.4,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.4,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.4,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
