kp_plim,dP_mw,wallclock_s,ok,settled,tds_converged,n_units_saturated,f_nadir_minbus_hz,df_ss_minbus_hz,rocof_window_hz_s,mu_i,mu_p,secure,df_ss_coi_hz,dip_coi_hz,kappa_os,bus_spread_hz,bus_spread_pct_of_dss,rocof_coi_window_hz_s,tau_eq_s,droop_zero_rad_s,pole_zero_cancels
0.0,0.64,8.38,True,False,False,0,59.47219684673195,-0.38079176302060347,0.8678357896523006,13.060618419684337,19.25418851787548,False,0.23746003199599386,0.5274605665343515,2.2212604037013275,0.005045828254544915,2.1249168595370365,0.8675583889438893,0.10220164902159565,-40.0,True
0.0,1.1793,5.34,True,False,False,0,58.9748865753735,-0.6974665718773068,1.5704776801112583,14.544370047055986,24.598332863433992,False,0.44117629592238927,1.0250142015520751,2.3233664433603054,0.006256434348188122,1.418125680371717,1.5697560936648545,0.11348159161300414,-40.0,True
0.0,1.82,4.37,True,False,False,0,58.3784894470653,-1.00239943766789,3.249438954127445,3.6018663388719503,2.5458351975616536,False,0.5049123093438297,1.6189695555184827,3.206437089288735,0.003586790235651449,0.7103788458460726,3.2443469021690694,,-40.0,True
0.01,0.64,6.83,True,False,False,0,59.29940698920796,3.395969531411019,23.095326093208623,48.72951331174295,18.22472249056111,False,-2.565568222635335,0.6483766216825657,,0.44193652085155577,,22.991909881015527,,-39.603960396039604,True
0.01,1.1793,5.11,True,False,False,0,59.051378052126154,-0.6954625113128756,1.5699909186330707,13.977147010789757,22.73457784625121,False,0.4399086451814611,0.9483811897137144,2.155859404223597,0.0073463759698313424,1.6699776306512417,1.5695988471713587,0.11232677052705553,-39.603960396039604,True
0.01,1.82,4.33,True,False,False,0,58.374619395326675,-1.0035154609312897,3.2587738377790885,3.597728819155614,2.5539369390779396,False,0.5054744543950207,1.6227975531127896,3.210444245011436,0.003645987030651554,0.7212999586725445,3.253595001005164,,-39.603960396039604,True
0.05,0.64,5.59,True,False,False,0,59.330985430090735,-0.38204438908687877,0.8676129556939511,13.43001103301128,20.871190057921538,False,0.24010183417659903,0.6687244925148406,2.7851702791365693,0.006389369969348024,2.661108354819369,0.8674070238737642,0.1070776324888231,-38.095238095238095,False
0.05,1.1793,5.74,True,False,False,0,59.12634117072545,-0.7004797458804575,1.5754222544134564,14.483781053959415,25.97186581897634,False,0.46264794026902223,0.8730868794608995,1.8871517702061176,0.006401557653191503,1.3836779754102226,1.5750508510869308,0.13126635198539008,-38.095238095238095,False
0.05,1.82,4.26,True,False,False,0,58.3795660724642,-1.0076776444204754,3.2727688019196832,5.048235705215021,1.8010450732777394,False,0.5075709616340163,1.6166428839872182,3.1850578661607862,0.005612387071906255,1.1057344679132892,3.2651120818018913,,-38.095238095238095,False
1.0,0.64,16.78,True,True,True,0,59.55852237065631,-0.44015344341046614,0.8674101231569403,0.520284353540457,0.40306662228307344,True,0.44015344341045903,0.44147348229533634,1.0029990425035624,0.00014599071703713662,0.033168141524907935,0.8673569404014158,0.3684361539630323,-20.0,False
