topology,event_bus,d_elec_pu,open_elements,n_open,dP_max_mw,found,x_secure,x_insecure,n_eval,monotone,note,anchor_dP_mw,margin_nadir,margin_rocof,margin_v,margin_mu_I,margin_mu_P,binding,runner_up,margin_gap,wallclock_s
G0,76,,s5 s6 s7 s8 s9,5,1.43857421875,True,1.4328124999999998,1.4443359374999998,14,True,"bracketed on [0.05, 3]",1.4328124999999998,0.009166947475904408,0.04881333306968261,0.0035065679099688394,0.2861144434075693,0.5691959121397949,v,nadir,0.0056603795659355685,328.0
G1,76,,s0 s2 s5 s6,4,1.43857421875,True,1.4328124999999998,1.4443359374999998,14,True,"bracketed on [0.05, 3]",1.4328124999999998,0.010475635915199177,0.04415860088842993,0.007347939705601993,0.29103162952545003,0.5702720605148208,v,nadir,0.0031276962095971843,303.1
G2,76,,s0 s7 s9,3,1.4500976562499996,True,1.4443359374999998,1.4558593749999997,14,True,"bracketed on [0.05, 3]",1.4443359374999998,0.0026047252093164275,0.035980196986216906,0.00011906544145512402,0.2884354366734537,0.566777998842853,v,nadir,0.0024856597678613035,300.4
G3,76,,s1 s2 s5 s6 s9,5,1.43857421875,True,1.4328124999999998,1.4443359374999998,14,True,"bracketed on [0.05, 3]",1.4328124999999998,0.009722062093480588,0.04707249590195517,0.00574561187285827,0.2900055002000461,0.5694428309742019,v,nadir,0.003976450220622318,312.8
