run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,dP_critical_ana_mw,error
phead_001,G0,6gfm,load_step,0.5,0.0,0.05000000000000001,,0.2120392444525949,,9.999999999999998,,,,,,1.2089961979212616,,,False,67.619,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=2.400s; f_nadir 58.1080 < 59.0; rocof 3.7552 > 2.0; mu_I 1.0075 > 1.0 (G4),58.107997770308856,58.16631509054369,-1.8336849094563092,0.3438474234366403,3.7552389358356977,0.11256931997283759,0.9633974434201598,0.9998571542416647,1.0074968316010513,G4,2.0502722027939386,G6,6,0.4999492880701931,0.6101031605338058,False,2.400000000000001,True,False,0.05000000000000001,
phead_002,G0,6gfm,load_step,0.5,0.0,3.4140000000000006,,0.2120392444525949,,0.14645577035735205,,,,,,1.1712522369120588,,,True,11.965,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,0.33627724996123204,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,3.4140000000000006,
phead_003,G0,6gfm,load_step,0.5,0.0,1.7320000000000002,,0.2120392444525949,,0.28868360277136257,,,,,,1.1712522369120588,,,True,11.811,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,0.5777880673970958,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,1.7320000000000002,
phead_004,G0,6gfm,load_step,0.5,0.0,0.8910000000000001,,0.2120392444525949,,0.5611672278338944,,,,,,1.1712522369120588,,,True,11.876,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,0.901518756724849,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,0.8910000000000001,
phead_005,G0,6gfm,load_step,0.5,0.0,0.4705000000000001,,0.2120392444525949,,1.0626992561105204,,,,,,1.1712522369120588,,,False,60.55,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=3.300s,59.55252597150729,59.554494846973355,-0.4455051530266445,0.3438474234366403,0.8976833626182953,0.04486384977441517,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.2523643256307255,G6,6,0.5000164785525926,0.6101031605338058,True,3.3000000000000016,True,False,0.4705000000000001,
phead_006,G0,6gfm,load_step,0.5,0.0,0.6807500000000001,,0.2120392444525949,,0.7344840249724568,,,,,,1.1712522369120588,,,True,11.746,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.0483669601735415,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,0.6807500000000001,
phead_007,G0,6gfm,load_step,0.5,0.0,0.575625,,0.2120392444525949,,0.8686210640608033,,,,,,1.1712522369120588,,,True,11.8,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.1413217955458077,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,0.5756250000000002,
phead_008,G0,6gfm,load_step,0.5,0.0,0.5230625000000001,,0.2120392444525949,,0.9559087107181263,,,,,,1.1712522369120588,,,True,12.184,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.65614007389947,-0.34385992610052796,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.1942674423026078,G6,0,0.5000181971948715,0.6101031605338058,True,7.999999999999988,True,True,0.5230625,
phead_009,G0,6gfm,load_step,0.5,0.0,0.49678125000000006,,0.2120392444525949,,1.00647920991382,,,,,,1.1712522369120588,,,False,60.62,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=5.100s,59.574845484401315,59.644647432022005,-0.3553525679779952,0.3438474234366403,0.8533579655819614,0.044685193646135477,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.2226261095803699,G6,6,0.5000183389179412,0.6101031605338058,True,5.099999999999998,True,False,0.49678125000000006,
phead_010,G0,6gfm,load_step,0.5,0.0,0.7228000000000002,,0.2120392444525949,,0.6917542888765909,,,,,,1.1712522369120588,,,True,11.72,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57979995798572,59.656140078160156,-0.3438599218398437,0.3438474234366403,0.840821513471416,0.04468249503809081,0.9642189048721644,0.9998571542416647,0.9760435307600491,G4,1.015290856725689,G6,0,0.5000181971745495,0.6101031605338058,True,7.999999999999988,True,True,0.7228000000000002,
