topology,event_bus,d_elec_pu,open_elements,n_open,dP_max_mw,found,x_secure,x_insecure,n_eval,monotone,note,anchor_dP_mw,margin_nadir,margin_rocof,margin_v,margin_mu_I,margin_mu_P,binding,runner_up,margin_gap,wallclock_s
G0,76,,s5 s6 s7 s8 s9,5,0.72412109375,True,0.718359375,0.7298828125000001,14,True,"bracketed on [0.05, 3]",0.718359375,0.008966674425238352,0.5160150580496272,0.5805119710111439,0.4850941945866627,0.7417933939605721,nadir,mu_I,0.47612752016142434,300.0
G1,76,,s0 s2 s5 s6,4,0.72412109375,True,0.718359375,0.7298828125000001,14,True,"bracketed on [0.05, 3]",0.718359375,0.009455413676761282,0.5152929886486847,0.5826841682736857,0.4874556177606094,0.7421919006351503,nadir,mu_I,0.47800020408384813,286.9
G2,76,,s0 s7 s9,3,0.72412109375,True,0.718359375,0.7298828125000001,14,True,"bracketed on [0.05, 3]",0.718359375,0.00949262802490125,0.5152259617688482,0.5827878720653666,0.4876586530762499,0.7422193100081411,nadir,mu_I,0.47816602505134864,295.1
G3,76,,s1 s2 s5 s6 s9,5,0.72412109375,True,0.718359375,0.7298828125000001,14,True,"bracketed on [0.05, 3]",0.718359375,0.009190392204232012,0.5153104178932076,0.5821963802177829,0.4876236284880694,0.7417027381567587,nadir,mu_I,0.4784332362838374,305.2
