method,ffr_success_rate,dso_capacity_pay_per_event_eur,dso_activation_pay_per_event_eur,dso_gross_ffr_payment_per_event_eur,dso_gross_ffr_payment_per_day_eur,gross_payment_per_secured_event_eur,undersupply_recovery_per_event_eur_INFO
Fixed Droop,0.25,0.028135368051780102,0.0004258471487615948,0.028561215200541695,0.14280607600270848,0.11424486080216678,0.5614298195893194
GCNN-PPO,0.95,0.9390781719706501,0.0001478891747552232,0.9392260611454054,4.696130305727027,0.9886590117320058,16.06862073387886
GraphSAGE-MAPPO,1.0,0.3561437619236516,0.0,0.3561437619236516,1.780718809618258,0.3565002621858374,0.0
MATD3,1.0,1.1038998872505328,6.526683250740462e-05,1.1039651540830402,5.519825770415201,1.1050702243073476,5.005932612190161
MLP-MAPPO,1.0,0.9513516065499049,3.262661476099993e-05,0.9513842331646659,4.7569211658233295,0.9523365697344003,9.78130384215833
No FFR,0.25,0.005214580850292625,0.0,0.005214580850292625,0.026072904251463126,0.0208583234011705,0.0
