method,gross_revenue_eur,net_profit_eur,em_p_eur,am_cap_eur,am_act_eur,undersupply_eur,opex_eur,ffr_success_rate,profit_per_hour,duration_h_episode,scale_to_daily
No FFR,754.7133960707012,-1272.1934532443674,753.1725940167737,1.5408020539274152,0.0,0.0,2026.9068493150685,0.25,-53.00806055184865,0.08333333333333331,288.00000000000006
Fixed Droop,696.1479261237305,-1493.335745352271,687.8814520760066,8.146793230613266,0.11968081711074777,162.57682216093303,2026.9068493150685,0.25,-62.22232272301129,0.08333333333333331,288.00000000000006
GraphSAGE-MAPPO,818.8660871897248,-1208.040762125344,741.4718250239371,77.39426216578772,0.0,0.0,2026.9068493150685,1.0,-50.335031755222666,0.08333333333333331,288.00000000000006
MLP-MAPPO,962.7755958974773,-2096.521516556451,699.8642619762803,262.9074713895673,0.003862531629579281,1032.3902631388598,2026.9068493150685,1.0,-87.35506318985213,0.08333333333333331,288.00000000000006
GCNN-PPO,991.876304959313,-5173.932080104972,721.7102945414216,270.12323133469835,0.04277908319295421,4138.901535749216,2026.9068493150685,0.95,-215.58050333770717,0.08333333333333331,288.00000000000006
MATD3,1082.0825585175965,-2394.6855493382027,760.784083142129,321.28067684413276,0.017798531334847215,1449.861258540731,2026.9068493150685,1.0,-99.77856455575845,0.08333333333333331,288.00000000000006
