run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_I_cont_andes,mu_I_cont_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
pdgoff_001,G0,6gfm,gen_trip,0.0,0.0,3.414,,0.0699156427654502,,0.15159045725646123,,,,,,0.9045447266867441,,,True,24.935,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.99087714507025,59.99998189104241,-1.8108957590357022e-05,-0.0,0.13829739188769333,0.007948393831881775,0.9663302219919407,0.9999424055374471,0.45227236334337206,G4,0.7537872722389535,G4,0.2157187849943041,G1,0,2.4866720940486253e-05,0.6101075711672006,True,7.999999999999988,True,True,0.0,False,3.414,
pdgoff_002,G0,6gfm,gen_trip,1.4,1.4,3.414,,0.06991564276545018,,0.23246951219512185,,,,,,1.6550386409920033,,,False,26.302,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.0306 < 59.5,59.030571572400675,59.03723960498889,-0.9627603950111094,-0.9627727856225929,1.880465370538894,0.06762515952024514,0.8926347204947033,0.9999567769854618,0.8275193204960016,G4,1.3791988674933362,G4,0.43385241696969096,G6,0,1.39998006197203,-0.7898117346443841,True,7.999999999999988,True,True,0.41007615700058575,False,3.414,
pdgoff_003,G0,6gfm,gen_trip,0.7,0.7,3.414,,0.06991564276545019,,0.18351383874849575,,,,,,1.2715310295104016,,,True,22.679,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.51556758664968,59.51860047191291,-0.4813995280870884,-0.48138639281129647,0.9615289702144669,0.03436874663243727,0.9410528789893864,0.9999297566738736,0.6357655147552008,G4,1.059609191258668,G4,0.26527289735140075,G6,0,0.7000184128140907,-0.08987580117839696,True,7.999999999999988,True,True,0.20503807850029288,False,3.414,
pdgoff_004,G0,6gfm,gen_trip,1.0499999999999998,1.0499999999999998,3.414,,0.06991564276545018,,0.20511096166778742,,,,,,1.463347377200253,,,False,24.991,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.2737 < 59.5,59.27367948834036,59.277917268851304,-0.7220827311486957,-0.7220795892169445,1.4272607862615319,0.05094225315611078,0.9168350519905945,0.999941872349488,0.7316736886001265,G4,1.2194561476668775,G4,0.33636312749006136,G6,0,1.0500034964384262,-0.43984970788196165,True,7.999999999999988,True,True,0.3075571177504393,False,3.414,
pdgoff_005,G0,6gfm,gen_trip,0.8749999999999999,0.8749999999999999,3.414,,0.06991564276545019,,0.193712289615751,,,,,,1.3672772703652887,,,False,24.751,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.3948 < 59.5,59.39475135140388,59.39825812068565,-0.6017418793143534,-0.6017329910141206,1.1951398974643268,0.04263559104404381,0.9289407520871293,0.9999344167300404,0.6836386351826443,G4,1.1393977253044072,G4,0.298595282896061,G6,0,0.8750120956801783,-0.2648642450362492,True,7.999999999999988,True,True,0.2562975981253661,False,3.414,
pdgoff_006,G0,6gfm,gen_trip,0.7874999999999999,0.7874999999999999,3.414,,0.0699156427654502,,0.1884752046964313,,,,,,1.3193256382436849,,,False,23.169,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4552 < 59.5,59.455191681812025,59.45842905335702,-0.5415709466429774,-0.5415596919127085,1.0783033273297178,0.03849566300336809,0.9349949742381791,0.9999306838342547,0.6596628191218424,G4,1.0994380318697374,G4,0.28136265201002164,G6,0,0.7875155637733426,-0.1773703840117771,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
pdgoff_007,G0,6gfm,gen_trip,0.7437499999999999,0.7437499999999999,3.414,,0.06991564276545019,,0.1859614358661687,,,,,,1.295372749863479,,,False,23.025,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4854 < 59.5,59.485388056141815,59.488514707074806,-0.5114852929251938,-0.5114730423620024,1.0199866888045412,0.036430599441285315,0.9380225574821254,0.9999289651983336,0.6476863749317395,G4,1.0794772915528992,G4,0.273171338379075,G6,0,0.7437670694802951,-0.1336231853241916,True,7.999999999999988,True,True,0.2178529584065612,False,3.414,
pdgoff_008,G0,6gfm,gen_trip,0.7218749999999999,0.7218749999999999,3.414,,0.0699156427654502,,0.1847295302267479,,,,,,1.2834466572448218,,,True,23.267,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.50047997894429,59.503557575440276,-0.4964424245597243,-0.49642971758664944,0.9905971479898722,0.035398705947842626,0.9395379756414788,0.9999293608933834,0.6417233286224109,G4,1.0695388810373516,G4,0.26919612606950366,G6,0,0.7218927616338163,-0.11174951647904144,True,7.999999999999988,True,True,0.21144551845342707,False,3.414,
pdgoff_009,G0,6gfm,gen_trip,0.7328124999999999,0.7328124999999999,3.414,,0.06991564276545019,,0.1853434360698076,,,,,,1.2894050196034592,,,False,23.115,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4929 < 59.5,59.49293456013434,59.49603613798717,-0.5039638620128315,-0.5039513799743259,1.0055199606452874,0.03591463124902176,0.9387805835643653,0.9999291630831131,0.6447025098017296,G4,1.0745041830028828,G4,0.27117726939121484,G6,0,0.7328299202692372,-0.12268635668276247,True,7.999999999999988,True,True,0.21464923842999412,False,3.414,
pdgoff_010,G0,6gfm,gen_trip,0.72734375,0.72734375,3.414,,0.06991564276545019,,0.18503597395087823,,,,,,1.2864257931507745,,,False,23.101,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4967 < 59.5,59.49670741911566,59.49979685603039,-0.5002031439696069,-0.5001905487804877,0.9981442665089169,0.03565666456788999,0.9391592746375284,0.999929262070578,0.6432128965753873,G4,1.0720214942923123,G4,0.27018505764431516,G6,0,0.7273613419873813,-0.11721793800389889,True,7.999999999999988,True,True,0.2130473784417106,False,3.414,
