encoder,n_scenarios,ffr_sr_mean,iae_post_mean,nadir_mean,rocof_max_mean
GraphSAGE,4,0.07500000000000001,1.736462571820184,49.58184194049911,2.8626690748445713
MLP,4,0.075,11.129500886839262,49.330927611972655,3.933673383812575
