method,test_topology_id,d_E,iae_train_mean,iae_test,iae_degradation_pct
No FFR,1,0.016949152542372836,5.593080139810408,6.877439559914381,22.96336522986974
No FFR,2,0.008474576271186418,5.593080139810408,6.887901767995015,23.150421517623716
No FFR,8,0.008474576271186418,5.593080139810408,6.8707690777094514,22.84410210403947
No FFR,12,0.008474576271186418,5.593080139810408,5.609349681721232,0.29088698005631614
No FFR,14,0.008474576271186418,5.593080139810408,6.880705924036069,23.021765324987957
Fixed Droop,1,0.016949152542372836,4.796464811333858,5.445342796640501,13.528254888337132
Fixed Droop,2,0.008474576271186418,4.796464811333858,5.434367632674885,13.299437115303908
Fixed Droop,8,0.008474576271186418,4.796464811333858,5.449834602624689,13.621903151398996
Fixed Droop,12,0.008474576271186418,4.796464811333858,4.907110000564967,2.306807066939356
Fixed Droop,14,0.008474576271186418,4.796464811333858,5.421068901019058,13.022176003653453
MATD3,1,0.016949152542372836,4.698924833644837,7.6698148024141775,63.22488811690348
MATD3,2,0.008474576271186418,4.698924833644837,7.640647815542221,62.604171933849905
MATD3,8,0.008474576271186418,4.698924833644837,9.277113533496832,97.43055830711835
MATD3,12,0.008474576271186418,4.698924833644837,4.265434483477866,-9.22530931040077
MATD3,14,0.008474576271186418,4.698924833644837,8.650957910199711,84.10504990967014
GCNN-PPO,1,0.016949152542372836,5.2917075905278645,7.504797356392279,41.82184536851274
GCNN-PPO,2,0.008474576271186418,5.2917075905278645,6.796199562145719,28.431124469365788
GCNN-PPO,8,0.008474576271186418,5.2917075905278645,6.705491859956308,26.71697642475771
GCNN-PPO,12,0.008474576271186418,5.2917075905278645,5.601090059232586,5.846552618638922
GCNN-PPO,14,0.008474576271186418,5.2917075905278645,6.664120625497816,25.935163867076955
MLP-MAPPO,1,0.016949152542372836,9.481545010082048,10.225325816973605,7.8445106372502575
MLP-MAPPO,2,0.008474576271186418,9.481545010082048,11.120424029517627,17.284936344160197
MLP-MAPPO,8,0.008474576271186418,9.481545010082048,10.990800829898562,15.91782582070403
MLP-MAPPO,12,0.008474576271186418,9.481545010082048,10.747411301584938,13.350844088772998
MLP-MAPPO,14,0.008474576271186418,9.481545010082048,14.77381012899321,55.81648468982342
GraphSAGE-MAPPO,1,0.016949152542372836,1.597259688674719,1.9986208127433784,25.128107026959245
GraphSAGE-MAPPO,2,0.008474576271186418,1.597259688674719,1.997012476757694,25.027413570717393
GraphSAGE-MAPPO,8,0.008474576271186418,1.597259688674719,2.005474925634826,25.55722402903764
GraphSAGE-MAPPO,12,0.008474576271186418,1.597259688674719,1.5522398083975055,-2.8185698666550243
GraphSAGE-MAPPO,14,0.008474576271186418,1.597259688674719,1.9987259308885015,25.134688182538916
