topology,open_elements,n_open,dP_max_mw,found,x_secure,x_insecure,n_eval,monotone,note,anchor_dP_mw,margin_nadir,margin_rocof,margin_v,margin_mu_I,margin_mu_P,binding,runner_up,margin_gap,wallclock_s
G0,s5 s6 s7 s8 s9,5,1.18505859375,True,1.179296875,1.1908203125,14,True,"bracketed on [0.05, 3]",1.179296875,0.004430004464630599,0.0005652064211416619,0.19622851033099248,0.32405987933110136,0.6851305870897968,rocof,nadir,0.0038647980434889373,317.9
G1,s0 s2 s5 s6,4,1.18505859375,True,1.179296875,1.1908203125,14,True,"bracketed on [0.05, 3]",1.179296875,0.006426281378850263,0.002569232872959737,0.2023184403023937,0.3299082471551238,0.685669357881403,rocof,nadir,0.0038570485058905257,278.8
G2,s0 s7 s9,3,1.18505859375,True,1.179296875,1.1908203125,14,True,"bracketed on [0.05, 3]",1.179296875,0.00661965278126786,0.0027633549422527715,0.20301240482342725,0.33051925843277186,0.6857542737385312,rocof,nadir,0.003856297839015088,283.3
G3,s1 s2 s5 s6 s9,5,1.18505859375,True,1.179296875,1.1908203125,14,True,"bracketed on [0.05, 3]",1.179296875,0.005190495026226927,0.001328649203523713,0.19930275511505063,0.3291837607755451,0.6851400238497358,rocof,nadir,0.0038618458227032137,283.7
