scenario,method,metric,mean,std
S2_gen_trip,Fixed Droop,delta_f_max_hz,1.0344187897031667,0.33241659285275327
S2_gen_trip,Fixed Droop,settling_time_s,16.0,1.0
S2_gen_trip,Fixed Droop,iae_total,7.200169024640829,0.5679034485026402
S2_gen_trip,Fixed Droop,iae_post,4.7783459755153155,0.6653837160032601
S2_gen_trip,Fixed Droop,itae,393.4586722308254,148.6328470620887
S2_gen_trip,Fixed Droop,time_in_violation_s,2.95,1.627114009527298
S2_gen_trip,Fixed Droop,ffr_success,0.1,0.30000000000000004
S2_gen_trip,MATD3,nadir_hz,49.61339553340123,0.12071860944532184
S2_gen_trip,MATD3,zenith_hz,50.677951589023145,0.18613241291677038
S2_gen_trip,MATD3,rocof_max_hz_s,2.3519234190865626,0.6102146161666148
S2_gen_trip,MATD3,delta_f_max_hz,0.6779515890231405,0.1861324129167704
S2_gen_trip,MATD3,settling_time_s,49.2,0.9273618495495705
S2_gen_trip,MATD3,iae_total,18.188044196883464,4.639039770608607
S2_gen_trip,MATD3,iae_post,3.711882717734386,0.9898733629020117
S2_gen_trip,MATD3,itae,1858.052084320041,476.74584123536124
S2_gen_trip,MATD3,time_in_violation_s,1.1,0.7000000000000001
S2_gen_trip,MATD3,ffr_success,0.2,0.4
S2_gen_trip,GCNN-PPO,nadir_hz,49.62761957641575,0.1550225052922238
S2_gen_trip,GCNN-PPO,zenith_hz,50.54238043778507,0.19397890726781122
S2_gen_trip,GCNN-PPO,rocof_max_hz_s,3.406345177296809,0.9349017483355396
S2_gen_trip,GCNN-PPO,delta_f_max_hz,0.5571308222063298,0.18601168078939226
S2_gen_trip,GCNN-PPO,settling_time_s,49.55,1.116915395184434
S2_gen_trip,GCNN-PPO,iae_total,30.371649606170184,8.465554306415958
S2_gen_trip,GCNN-PPO,iae_post,5.05753099825518,1.4607178650928547
S2_gen_trip,GCNN-PPO,itae,3532.4247268480044,1001.0326447539843
S2_gen_trip,GCNN-PPO,time_in_violation_s,0.9,0.9433981132056604
S2_gen_trip,GCNN-PPO,ffr_success,0.0,0.0
S2_gen_trip,MLP-MAPPO,nadir_hz,49.367186726904194,0.2695142619404639
S2_gen_trip,MLP-MAPPO,zenith_hz,50.63178413457624,0.23087462612623727
S2_gen_trip,MLP-MAPPO,rocof_max_hz_s,4.150022413605617,1.2199447186080188
S2_gen_trip,MLP-MAPPO,delta_f_max_hz,0.6986979069021313,0.2518566486336144
S2_gen_trip,MLP-MAPPO,settling_time_s,47.45,9.404653103650343
S2_gen_trip,MLP-MAPPO,iae_total,61.458961328560406,32.09376837472459
S2_gen_trip,MLP-MAPPO,iae_post,10.354847418412284,5.5607145192804355
S2_gen_trip,MLP-MAPPO,itae,7473.501361032957,4113.527387057012
S2_gen_trip,MLP-MAPPO,time_in_violation_s,6.05,15.935730293902441
S2_gen_trip,MLP-MAPPO,ffr_success,0.0,0.0
S2_gen_trip,GraphSAGE-MAPPO,nadir_hz,49.70848941551023,0.06565234199932242
S2_gen_trip,GraphSAGE-MAPPO,zenith_hz,50.64967632113971,0.18760296258546916
S2_gen_trip,GraphSAGE-MAPPO,rocof_max_hz_s,2.3534986392668493,0.406616678075534
S2_gen_trip,GraphSAGE-MAPPO,delta_f_max_hz,0.6496763211397039,0.1876029625854692
S2_gen_trip,GraphSAGE-MAPPO,settling_time_s,7.75,1.1346805717910218
S2_gen_trip,GraphSAGE-MAPPO,iae_total,4.850593383273698,1.1417255422728274
S2_gen_trip,GraphSAGE-MAPPO,iae_post,1.2187673279287794,0.25598102791809724
S2_gen_trip,GraphSAGE-MAPPO,itae,227.12495479937257,93.75731632146314
S2_gen_trip,GraphSAGE-MAPPO,time_in_violation_s,0.8,0.4
S2_gen_trip,GraphSAGE-MAPPO,ffr_success,0.1,0.30000000000000004
S3_line_trip,No FFR,nadir_hz,49.39838973291611,0.19464159085227675
S3_line_trip,No FFR,zenith_hz,50.186324435427956,0.03617521393783517
S3_line_trip,No FFR,rocof_max_hz_s,1.580918712544173,0.5724987565749164
S3_line_trip,No FFR,delta_f_max_hz,0.6016102670838919,0.19464159085227675
S3_line_trip,No FFR,settling_time_s,15.3,1.004987562112089
S3_line_trip,No FFR,iae_total,6.567212727489176,0.5758328755533987
S3_line_trip,No FFR,iae_post,3.4832496603013587,0.6673759627128162
S3_line_trip,No FFR,itae,504.9628718293842,17.332940328909604
S3_line_trip,No FFR,time_in_violation_s,1.0,0.8366600265340756
S3_line_trip,No FFR,ffr_success,0.35,0.47696960070847283
S3_line_trip,Fixed Droop,nadir_hz,49.362475628503695,0.2052424986961415
S3_line_trip,Fixed Droop,zenith_hz,50.18902084261525,0.0327855626398065
S3_line_trip,Fixed Droop,rocof_max_hz_s,2.104538129111371,0.6676734610295981
S3_line_trip,Fixed Droop,delta_f_max_hz,0.6375243714963045,0.2052424986961415
S3_line_trip,Fixed Droop,settling_time_s,16.9,2.896549671592048
S3_line_trip,Fixed Droop,iae_total,5.564505363496686,0.8063575896897324
S3_line_trip,Fixed Droop,iae_post,3.1930334766816832,0.4824642134127893
S3_line_trip,Fixed Droop,itae,388.5749727566838,177.93918717399023
S3_line_trip,Fixed Droop,time_in_violation_s,1.35,1.2757350822173075
S3_line_trip,Fixed Droop,ffr_success,0.35,0.47696960070847283
S3_line_trip,MATD3,nadir_hz,49.664658493857445,0.07614793167265024
S3_line_trip,MATD3,zenith_hz,50.31308478074377,0.1610151400763463
S3_line_trip,MATD3,rocof_max_hz_s,2.343458799851255,0.4655879222046211
S3_line_trip,MATD3,delta_f_max_hz,0.3742760962422942,0.12516195074158545
S3_line_trip,MATD3,settling_time_s,25.2,20.650907970353263
S3_line_trip,MATD3,iae_total,13.775668084259175,15.357346198262622
S3_line_trip,MATD3,iae_post,2.398147891980371,2.7157608390228587
S3_line_trip,MATD3,itae,1391.133967047405,1943.5232295104556
S3_line_trip,MATD3,time_in_violation_s,0.25,0.4330127018922193
S3_line_trip,MATD3,ffr_success,0.1,0.30000000000000004
S3_line_trip,GCNN-PPO,nadir_hz,49.624042361643454,0.1646967120836731
S3_line_trip,GCNN-PPO,zenith_hz,50.4232351394362,0.16376963850449494
S3_line_trip,GCNN-PPO,rocof_max_hz_s,3.0696526756055436,0.6010656631818291
S3_line_trip,GCNN-PPO,delta_f_max_hz,0.46353274613513984,0.16827889928206566
S3_line_trip,GCNN-PPO,settling_time_s,49.75,0.4330127018922193
S3_line_trip,GCNN-PPO,iae_total,42.32269090752756,17.823170916042137
S3_line_trip,GCNN-PPO,iae_post,6.058169224344324,2.861591487740363
S3_line_trip,GCNN-PPO,itae,5458.585614433539,2388.176069062048
S3_line_trip,GCNN-PPO,time_in_violation_s,0.75,1.0428326807307104
S3_line_trip,GCNN-PPO,ffr_success,0.05,0.21794494717703364
S3_line_trip,MLP-MAPPO,nadir_hz,49.34416833213209,0.3023223750538215
S3_line_trip,MLP-MAPPO,zenith_hz,50.64744824488828,0.29081557207659725
S3_line_trip,MLP-MAPPO,rocof_max_hz_s,3.9926555506987653,1.8249888690876632
S3_line_trip,MLP-MAPPO,delta_f_max_hz,0.7074922766469072,0.3061906482245098
S3_line_trip,MLP-MAPPO,settling_time_s,48.55,6.320403468133976
S3_line_trip,MLP-MAPPO,iae_total,70.86393828380355,28.977297715709394
S3_line_trip,MLP-MAPPO,iae_post,11.115820959310204,5.012587448371413
